antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedentes,consecuentes
frozenset({'GDP_Alto'}),"frozenset({'Gini_Bajo', 'Pob_Baja'})",0.3606110201854883,0.31369339879978175,0.22422258592471359,0.62178517397882,1.982142998092482,1.0,0.11110128935807106,1.8145946535733775,0.7749516288416666,0.49818181818181817,0.44891273760188966,0.6682838913372362,GDP_Alto,"Gini_Bajo, Pob_Baja"
"frozenset({'Gini_Bajo', 'Pob_Baja'})",frozenset({'GDP_Alto'}),0.31369339879978175,0.3606110201854883,0.22422258592471359,0.7147826086956524,1.982142998092482,1.0,0.11110128935807106,2.2417601426423444,0.7219740135154477,0.49818181818181817,0.5539219468763914,0.6682838913372362,"Gini_Bajo, Pob_Baja",GDP_Alto
"frozenset({'Mort_Baja', 'Pob_Baja'})",frozenset({'GDP_Alto'}),0.502454991816694,0.3606110201854883,0.3567921440261866,0.7100977198697069,1.969151468261986,1.0,0.1756013368298774,2.2055327730680356,0.9891910107838404,0.7047413793103448,0.5465948127313761,0.849753852370557,"Mort_Baja, Pob_Baja",GDP_Alto
frozenset({'GDP_Alto'}),"frozenset({'Mort_Baja', 'Pob_Baja'})",0.3606110201854883,0.502454991816694,0.3567921440261866,0.989409984871407,1.9691514682619857,1.0,0.1756013368298774,46.9824643441665,0.7697459060024423,0.7047413793103448,0.9787154630145712,0.849753852370557,GDP_Alto,"Mort_Baja, Pob_Baja"
"frozenset({'GDP_Alto', 'Gini_Medio'})","frozenset({'Mort_Baja', 'Pob_Baja'})",0.1320240043644299,0.502454991816694,0.1282051282051282,0.9710743801652891,1.932659434140038,1.0,0.0618690081725914,17.200841711479935,0.5559811171884401,0.2532327586206896,0.941863310134841,0.6131159088665751,"GDP_Alto, Gini_Medio","Mort_Baja, Pob_Baja"
"frozenset({'Mort_Baja', 'Gini_Medio', 'Pob_Baja'})",frozenset({'GDP_Alto'}),0.18603382433169668,0.3606110201854883,0.1282051282051282,0.689149560117302,1.911060731762503,1.0,0.06111928102386714,2.056902284120268,0.5856882094575323,0.3063885267275097,0.5138320338694663,0.5223357482886056,"Mort_Baja, Gini_Medio, Pob_Baja",GDP_Alto
"frozenset({'GDP_Alto', 'Gini_Bajo'})",frozenset({'Pob_Baja'}),0.22422258592471359,0.546644844517185,0.22422258592471359,1.0,1.8293413173652693,1.0,0.10165246530465738,inf,0.5843881856540084,0.41017964071856283,1.0,0.7050898203592815,"GDP_Alto, Gini_Bajo",Pob_Baja
"frozenset({'GDP_Alto', 'Mort_Baja', 'Gini_Bajo'})",frozenset({'Pob_Baja'}),0.22422258592471359,0.546644844517185,0.22422258592471359,1.0,1.8293413173652693,1.0,0.10165246530465738,inf,0.5843881856540084,0.41017964071856283,1.0,0.7050898203592815,"GDP_Alto, Mort_Baja, Gini_Bajo",Pob_Baja
"frozenset({'GDP_Alto', 'Mort_Baja'})",frozenset({'Pob_Baja'}),0.358974358974359,0.546644844517185,0.3567921440261866,0.993920972644377,1.8182207014542344,1.0,0.16056066137899197,74.57692307692375,0.7020183486238532,0.6500994035785287,0.9865910263022177,0.82330779171141,"GDP_Alto, Mort_Baja",Pob_Baja
frozenset({'Pob_Baja'}),"frozenset({'GDP_Alto', 'Mort_Baja'})",0.546644844517185,0.358974358974359,0.3567921440261866,0.6526946107784432,1.8182207014542344,1.0,0.16056066137899197,1.8457117595048629,0.9926252221817418,0.6500994035785287,0.45820359281437134,0.82330779171141,Pob_Baja,"GDP_Alto, Mort_Baja"
